reaction_id,exception
[CH]=C[CH]C_m3.[H]_m2>>[CH2]C=CC_m2,
[OH]_m2.[C-]#[O+]_m1>>O=[C]O_m2,
[H]_m2.O=[C]C=CC=O_m2>>O=CC=CC=O_m1,
[C-]#[O+]_m1.[CH]=C(O)C=O_m2>>O=C=C[C](O)C=O_m2,
[H]_m2.[O]OC(O)([C]=O)C=O_m3>>[O]OC(O)(C=O)C=O_m2,
[O]OC=O_m2.C[C]=O_m2>>CC(=O)OOC=O_m1,
[CH2]_m1.[CH]1COOC1_m2>>CC1[CH]COO1_m2,
[O]OC(O)(C=O)C=O_m2>>[O]O_m2.O=CC(=O)C=O_m1,
[O]_m3.[O]CC=CC=O_m2>>[O]OCC=CC=O_m2,
O=[C]O_m2.[C-]#[O+]_m1>>O=[C]C(=O)O_m2,
[O][O]_m3.[CH2]C=C[CH2]_m3>>C=C[CH]CO[O]_m3,
[CH3]_m2.[CH]=C_m2>>C=CC_m1,
[H]_m2.C=C=C(C=O)O[O]_m2>>C=C=C(C=O)OO_m1,
[CH]=O_m2.CC(=O)[C]=O_m2>>CC(=O)C(=O)C=O_m1,
[O]OC(=O)C=C([O])C=O_m3>>O=O_m1.O=C=CC(=O)C=O_m1,
[O]C(=O)O_m2.[H]_m2>>O=C(O)O_m1,
[CH2]O[O]_m3.C[CH2]_m2>>CCCO[O]_m2,
[CH2]O[O]_m3.[C]#C_m2>>C#CCO[O]_m2,
[H]_m2.C=C[CH]CO[O]_m3>>C=CCCO[O]_m2,
O=[C]O_m2.[H]_m2>>O=CO_m1,
[O]OC(O)(C=O)C=C=O_m2>>[O]O_m2.O=C=CC(=O)C=O_m1,
[O]_m3.O=C[C](O)C=O_m2>>[O]OC=C(O)C=O_m2,
[OH]_m2.[CH]=O_m2>>O=CO_m1,
[CH2]_m1.O=C[CH]C=CO_m2>>COC=CC=C[O]_m2,
C=C[C]=CO[O]_m3>>O=O_m1.C#CC=C_m1,
[O]_m3.CC1=[C]COO1_m2>>CC1OOCC=1[O]_m2,
[CH2]C(=O)C=O_m2.[O]_m3>>[O]CC(=O)C=O_m2,
C=C([CH]C)O[O]_m3>>C=C=CC_m1.O=O_m1,
[H]_m2.C=[C]C_m2>>C=CC_m1,
[H]_m2.C=C[CH]CO[O]_m3>>CC=CCO[O]_m2,
[CH2]CCCOO_m2.[H]_m2>>CCCCOO_m1,
[CH2]_m1.[O]OC1=COOC1_m2>>CC1OOCC=1O[O]_m2,
[C-]#[O+]_m1.[CH2]C=C=O_m2>>O=[C]CC=C=O_m2,
[CH2]_m1.[O]C1OOC(O)C1=O_m2>>CC1([O])OOC(O)C1=O_m2,
[O]_m3.[CH]=C(O)C=O_m2>>O=C[C](O)C=O_m2,
[O]OCCO_m2>>[O]O_m2.C=CO_m1,
[O][O]_m3.C=C=C_m1>>[CH2]C(=C)O[O]_m3,
[H]_m2.C=C=[C]CO[O]_m3>>CC#CCO[O]_m2,
[CH2]_m1.[O]C1=COOC1_m2>>CC1OOCC=1[O]_m2,
C=CCO[O]_m2.[CH2]_m1>>CC=CCO[O]_m2,
[CH]=CCC_m2.[CH2]_m3>>[CH2]C=CCC_m2,
[O]C=O_m2.CC([O])=O_m2>>CC(=O)OOC=O_m1,
[CH2]_m1.CC1[CH]COO1_m2>>CCC1[CH]COO1_m2,
[H]_m2.C=[C]C(=C)O[O]_m3>>C=C=C(C)O[O]_m2,
[CH2]C(=O)C=O_m2.[H]_m2>>[CH2][C](O)C=O_m3,
[C-]#[O+]_m1.C=CCO[O]_m2>>[O]OCC=CC=O_m2,
