reaction_id,press_dependence,class,rmg_value,Unnamed: 0
[H]_m2.C1C=COC=1_m1>>[CH]1C=CCO1_m2,,addition,0.0007381711308726926,884.0
[CH]C=C_m3.C[CH]CCOO_m2>>C#C[CH2]_m2.CCCCOO_m1,,abstraction,4.497914456487015e-08,2646.0
OOCCCC=CC_m1>>[CH2]CC=CC_m2.C=O_m1.[OH]_m2,,,,
OOC(CCC(OO)C[CH2])C_m2>>CC(OO)CCC=O_m1.C=C_m1.[OH]_m2,,,,
CCCC([CH]COO)OO_m2>>CCCC(C1CO1)OO_m1.[OH]_m2,,,,
C[CH]C_m2.C=C[CH]CO[O]_m3>>C=CC_m1.CC=CCO[O]_m2,,abstraction,1.612908101965616,61.0
[O]O_m2.C=[C]C(=C)O[O]_m3>>[O][O]_m3.C=C=C(C)O[O]_m2,,abstraction,2.760412549350807e-09,3124.0
OOCCC(O[O])(C)C_m2>>OOC(CC=O)(C)C_m1.[OH]_m2,,,,
CCCCOO_m1.O=[C]C=CC=O_m2>>CCCCO[O]_m2.O=CC=CC=O_m1,,abstraction,0.00016149020296418216,1149.0
[CH]=C[CH]C_m3.O=[C]C=CC=O_m2>>C#C[CH]C_m2.O=CC=CC=O_m1,,abstraction,9.857274695107593e-11,3600.0
CCCC(C=C)[O]_m2.CC[O]_m2>>CCC[CH]C=C_m2.CCO[O]_m2,,,,
OOCCCCC(O[O])CC_m2>>OOC[CH]CCC(OO)CC_m2,,,,
O=C[CH]C=CO_m2.[O][O]_m3>>[O]OC(O)C=CC=O_m2,,addition,1.7353834214849249,57.0
C=C=CC_m1.[CH2]C=C_m2>>[CH2]C#CC_m2.C=CC_m1,,abstraction,3.838603523769478e-08,2674.0
CC_m1.[OH]_m2>>C[CH2]_m2.O_m1,,abstraction,0.0038273261256620774,633.0
OOCC(C([CH2])C)OO_m2>>CC=C_m1.OOCC=O_m1.[OH]_m2,,,,
CC(=O)C(=O)C[O]_m2.C=C[O]_m2>>CC(=O)C(=O)C=O_m1.C=CO_m1,,abstraction,1.1081304234801828e-20,4800.0
C=C=CC_m1.[CH2]C=CC_m2>>C#C[CH]C_m2.CC=CC_m1,,abstraction,0.0024384810331231307,697.0
CCC1CC(O1)C_m1.[OH]_m2>>CC[C]=O_m2.CC=C_m1.O_m1,,,,
O[O]_m2.CCCC=CC_m1>>CCCC(OO)[CH]C_m2,,addition,,
CCC([CH2])C_m2.[O][O]_m3>>CC(CC)CO[O]_m2,,addition,,
[CH2]C=C=O_m2.C=C[O]_m2>>C=C=C=O_m1.C=CO_m1,,abstraction,8.772416728673984e-10,3293.0
C[CH2]_m2.[CH2]C#CC_m2>>C=C_m1.C=C=CC_m1,,abstraction,9.03661933667853e-06,1692.0
C=C_m1.C#C[CH2]_m2>>[CH]=C_m2.C=C=C_m1,,abstraction,0.00012566861984022857,1196.0
C=C[O]_m2.[O]OCCO_m2>>C=C=O_m1.OCCOO_m1,,abstraction,0.0224771669819237,
[O]C(C=O)=CO_m2.[O]O_m2>>O=CC(=O)C=O_m1.OO_m1,,abstraction,2.3830899851019e-08,2757.0
COC=O_m1.CO[O]_m2>>CO[C]=O_m2.COO_m1,,abstraction,,
CCCC=CC=O_m1.[CH3]_m2>>CCCC=C[C]=O_m2.C_m1,,abstraction,,
O=[C]O_m2.C[CH]CCOO_m2>>O=C=O_m1.CCCCOO_m1,,abstraction,1.3734828910145932e-10,3558.0
c1[c]cccc1_m2.[O][O]_m3>>O=C1C=CC=CC1=O_m1.[H]_m2,,,,
CC=C(C)C_m1.[H]_m2>>C[CH]C(=C)C_m2.[H][H]_m1,,abstraction,,
CC(=O)C(O)=C[O]_m2.O=[C]CC=O_m2>>CC(=O)C(=O)C=O_m1.O=CCC=O_m1,,abstraction,0.0004487531018625286,963.0
CCCCC_m1.C[O]_m2>>CCCC[CH2]_m2.CO_m1,,abstraction,,
O[O]_m2.CCC=CCOO_m1>>OOC[CH]C(OO)CC_m2,,addition,,
O=[C]O_m2.[CH2]_m3>>O=C=O_m1.[CH3]_m2,,abstraction,8.651021047800773e-09,2932.0
[O]OCC(OO)(C)C_m2>>OOCC(OO)([CH2])C_m2,,migration,,
CC=[CH]_m2.C=O_m1>>[CH2]OC=CC_m2,,addition,,
CCCC_m1.[O]OCC(C)C_m2>>CCC[CH2]_m2.OOCC(C)C_m1,,abstraction,,
CC(OO)[CH]CC_m2>>CCC1OC1C_m1.[OH]_m2,,,,
C=C[O]_m2.[CH2]CCC_m2>>C=C=O_m1.CCCC_m1,,abstraction,0.0004404312461343973,967.0
[CH2]C[C]=O_m3.C[CH]C_m2>>C=C[C]=O_m2.CCC_m1,,abstraction,8.270616377208956e-08,
C=C(C)[O]_m2.[C-]#[O+]_m1>>[CH2]C(=O)CC=O_m2,,,0.019540514346176305,426.0
CC(=O)COO_m1>>C=O_m1.C[C]=O_m2.[OH]_m2,,,,
OOCC[CH]C(OO)C_m2>>CC1OC1CCOO_m1.[OH]_m2,,,,
[CH2]C=C_m2.C#C[O]_m2>>C=C=C_m1.C=C=O_m1,,abstraction,4.818812936879382e-06,1817.0
COC[O]_m2.[OH]_m2>>COCOO_m1,,,,
OOC(C(C)C)[CH2]_m2.[O][O]_m3>>[O]OCC(C(C)C)OO_m2,,addition,,
O[O]_m2.CCCCCC=C_m1>>CCCCC[CH]COO_m2,,addition,,
[CH]=O_m2.O=C=CO_m1>>[O]C(C=O)=CO_m2,,addition,2.7506136622094403e-10,3468.0
[CH2]C=O_m2.[O][O]_m3>>C=O_m1.[C]=O_m3.[OH]_m2,,,,
OOC(C(C)C)C_m1>>CC(C(C)C)[O]_m2.[OH]_m2,,,,
CCCCC[CH2]_m2>>CC[CH]CCC_m2,,migration,,
C=CCC_m1.[CH]=O_m2>>[CH2]C=CC_m2.C=O_m1,,abstraction,0.5613193497561751,114.0
CC=O_m1.C[O]_m2>>C[C]=O_m2.CO_m1,,abstraction,2.220609705297017e-06,1971.0
[O]CO[O]_m3.C=C[O]_m2>>[O]OC=O_m2.CC=O_m1,,abstraction,1.1796085391600139e-08,
CCC=CC=O_m1.[OH]_m2>>CCC=C[C]=O_m2.O_m1,,abstraction,,
[CH2]CC(C)C_m2.O[O]_m2>>[O]CCC(C)C_m2.[OH]_m2,,,,
CCC=C_m1.[H]_m2>>C[CH]C=C_m2.[H][H]_m1,,abstraction,,
CCC(OO)CC_m1.[O][O]_m3>>CCC(O[O])CC_m2.O[O]_m2,,abstraction,,
[O]O_m2.[O]C=CC(C=O)O[O]_m3>>[O][O]_m3.[O]OC(C=O)C=CO_m2,,abstraction,1.892167460567584e-05,1542.0
[CH2]C=C_m2.[CH2]O[O]_m3>>C=C=C_m1.CO[O]_m2,,abstraction,0.00922555742277386,514.0
c1[c]cccc1_m2.[O][O]_m3>>[O]c1ccccc1_m2.[O]_m3,,,,
CC=C[C]=O_m2.[H]_m2>>CC=CC=O_m1,,,,
CCCCCO[O]_m2>>CCC[CH]COO_m2,,migration,,
[O]C(C=O)=CO_m2.[O][O]_m3>>O=CC(=O)C=O_m1.[O]O_m2,,abstraction,2.8024343153674465e-08,2727.0
[H]_m2.C=C=C=O_m1>>[CH2]C#CO_m2,,addition,1.8332873323463468e-08,2808.0
[CH2]C=CC=O_m2.[CH]=C(O)C=O_m2>>C=CC=C=O_m1.C=C(O)C=O_m1,,abstraction,7.067638115732991e-07,2178.0
C#C[CH]C_m2.[CH]=O_m2>>C#CC=C_m1.C=O_m1,,abstraction,8.017442996611982e-05,1277.0
[CH2]CC=C_m2>>[CH2]C=CC_m2,,migration,5.427539055798793e-09,3018.0
CCCCC=CC_m1.[O][O]_m3>>CC[CH]CC=CC_m2.O[O]_m2,,abstraction,,
[O]OC(C)(C)C_m2.CC([CH2])C_m2>>CC([O])(C)C_m2.[O]CC(C)C_m2,,,,
[CH2]CO_m2.[CH2]O_m2>>C=CO_m1.CO_m1,,abstraction,0.034485800225478674,357.0
[O]CCO_m2.C=C[O]_m2>>O=CCO_m1.C=CO_m1,,abstraction,1.9070364191773237e-08,
C=CCC_m1.[O]O_m2>>[CH2]C=CC_m2.OO_m1,,abstraction,7.579800183169113e-06,1717.0
CCC1CO1_m1.[OH]_m2>>C=O_m1.[CH2]C=C_m2.O_m1,,,,
