Unnamed: 0,species,species_id,path
341,C2H4COCH2OH,C[CH]C(=O)CO_m2,geoms/C_b_CH_d_C_p_=O_q_CO_m2.xyz
342,CH3COHCO,CC(=C=O)O_m1,geoms/CC_p_=C=O_q_O_m1.xyz
343,CH2COHCHO,OC(=C)C=O_m1,geoms/OC_p_=C_q_C=O_m1.xyz
344,SQC4H7OHP-4O2,[O]OCCC(OO)CO_m2,geoms/_b_O_d_OCCC_p_OO_q_CO_m2.xyz
345,PQC4H7OHS-3O2,OOCC(C(O[O])C)O_m2,geoms/OOCC_p_C_p_O_b_O_d__q_C_q_O_m2.xyz
346,SQC4H7OHS-4O2,[O]OCC(C(OO)C)O_m2,geoms/_b_O_d_OCC_p_C_p_OO_q_C_q_O_m2.xyz
347,"C4H7O2-1,3OOH",OOCC(C(OO)C)[O]_m2,geoms/OOCC_p_C_p_OO_q_C_q__b_O_d__m2.xyz
348,NC4KET13OH-2,OOC(C(C=O)O)C_m1,geoms/OOC_p_C_p_C=O_q_O_q_C_m1.xyz
349,NC4KET24OH-1,OOCCC(=O)CO_m1,geoms/OOCCC_p_=O_q_CO_m1.xyz
350,NC4KET24OH-3,CC(=O)C(COO)O_m1,geoms/CC_p_=O_q_C_p_COO_q_O_m1.xyz
351,C4H6OHOOH1-4-3,OCC(C=C)OO_m1,geoms/OCC_p_C=C_q_OO_m1.xyz
352,C4H6OHOOH2-2-1,CC=C(COO)O_m1,geoms/CC=C_p_COO_q_O_m1.xyz
353,C4H6OHOOH1-3-4,OC(C=C)COO_m1,geoms/OC_p_C=C_q_COO_m1.xyz
354,C4H6OHOOH1-2-3,OOC(C(=C)O)C_m1,geoms/OOC_p_C_p_=C_q_O_q_C_m1.xyz
355,HOCH2CHO,OCC=O_m1,geoms/OCC=O_m1.xyz
356,C4H71-4OOH,OOCCC=C_m1,geoms/OOCCC=C_m1.xyz
357,C4H71-4O2,[O]OCCC=C_m2,geoms/_b_O_d_OCCC=C_m2.xyz
358,C4H61-3OOH4,OOC[CH]C=C_m2,geoms/OOC_b_CH_d_C=C_m2.xyz
359,C4H6O1-3OOH4,[O]C(C=C)COO_m2,geoms/_b_O_d_C_p_C=C_q_COO_m2.xyz
360,C4H6O2-1OOH4,OOCC=CC[O]_m2,geoms/OOCC=CC_b_O_d__m2.xyz
361,HOCH2COCH2,[CH2]C(=O)CO_m2,geoms/_b_CH2_d_C_p_=O_q_CO_m2.xyz
362,HOCH2CO,OC[C]=O_m2,geoms/OC_b_C_d_=O_m2.xyz
363,HOCHCHO,O[CH]C=O_m2,geoms/O_b_CH_d_C=O_m2.xyz
364,PC3H4OH-3,O[CH]C=C_m2,geoms/O_b_CH_d_C=C_m2.xyz
365,PC3H4OH-1,CC=[C]O_m2,geoms/CC=_b_C_d_O_m2.xyz
366,CH3COCHOH,CC(=O)[CH]O_m2,geoms/CC_p_=O_q__b_CH_d_O_m2.xyz
367,SC2H2OH,O[C]=C_m2,geoms/O_b_C_d_=C_m2.xyz
368,PC4H8OH-1,CCC[CH]O_m2,geoms/CCC_b_CH_d_O_m2.xyz
369,PC4H8OH-3,C[CH]CCO_m2,geoms/C_b_CH_d_CCO_m2.xyz
370,C4H7O1-4,[O]CCC=C_m2,geoms/_b_O_d_CCC=C_m2.xyz
371,PC4H8OH-4,[CH2]CCCO_m2,geoms/_b_CH2_d_CCCO_m2.xyz
372,SC4H8OH-2,CC[C](O)C_m2,geoms/CC_b_C_d__p_O_q_C_m2.xyz
373,CH2COHCO,OC(=C)[C]=O_m2,geoms/OC_p_=C_q__b_C_d_=O_m2.xyz
374,C4H72-2O2,CC(=CC)O[O]_m2,geoms/CC_p_=CC_q_O_b_O_d__m2.xyz
375,C4H71-1O2,CCC=CO[O]_m2,geoms/CCC=CO_b_O_d__m2.xyz
376,C4H71-2O2,CCC(=C)O[O]_m2,geoms/CCC_p_=C_q_O_b_O_d__m2.xyz
377,C3H6OH1-1,CC[CH]O_m2,geoms/CC_b_CH_d_O_m2.xyz
378,PC4H8OH-2O2,CCC(O[O])CO_m2,geoms/CCC_p_O_b_O_d__q_CO_m2.xyz
379,SC4H8OH-1O2,CCC(CO[O])O_m2,geoms/CCC_p_CO_b_O_d__q_O_m2.xyz
380,C4H71-3OOCH3,CC(C=C)OOC_m1,geoms/CC_p_C=C_q_OOC_m1.xyz
381,C4H72-1OOCH3,COOCC=CC_m1,geoms/COOCC=CC_m1.xyz
382,C4H6,C=CC=C_m1,geoms/C=CC=C_m1.xyz
383,C4H612,CC=C=C_m1,geoms/CC=C=C_m1.xyz
384,C4H6-2,CC#CC_m1,geoms/CC_t_CC_m1.xyz
385,C4H5-I,C=[C]C=C_m2,geoms/C=_b_C_d_C=C_m2.xyz
386,C4H5-N,C=CC=[CH]_m2,geoms/C=CC=_b_CH_d__m2.xyz
387,C4H5-2,CC#C[CH2]_m2,geoms/CC_t_C_b_CH2_d__m2.xyz
388,C4H4,C=CC#C_m1,geoms/C=CC_t_C_m1.xyz
389,C4H3-I,C=[C]C#C_m2,geoms/C=_b_C_d_C_t_C_m2.xyz
390,C4H3-N,[CH]=CC#C_m2,geoms/_b_CH_d_=CC_t_C_m2.xyz
391,C4H2,C#CC#C_m1,geoms/C_t_CC_t_C_m1.xyz
392,C4H6O25,O1CC=CC1_m1,geoms/O1CC=CC1_m1.xyz
393,C2H3CHOCH2,C=CC1CO1_m1,geoms/C=CC1CO1_m1.xyz
394,C4H4O,CC#CC=O_m1,geoms/CC_t_CC=O_m1.xyz
395,C4H6O23,C1CC=CO1_m1,geoms/C1CC=CO1_m1.xyz
396,CH2CHCHCHO,[CH2]C=CC=O_m2,geoms/_b_CH2_d_C=CC=O_m2.xyz
397,H2C4O,O1C=C1C#C_m1,geoms/O1C=C1C_t_C_m1.xyz
398,NC3H7CHO,CCCC=O_m1,geoms/CCCC=O_m1.xyz
399,NC3H7CO,CCC[C]=O_m2,geoms/CCC_b_C_d_=O_m2.xyz
400,C3H6CHO-1,[CH2]CCC=O_m2,geoms/_b_CH2_d_CCC=O_m2.xyz
